"Station","Latitude","Longitude","Datetime","Notes","SampleCode","Chlorophyll","Pheophytin","DissAmmonia_Sign","DissAmmonia","DissCalcium","DissChloride","DissNitrateNitrite_Sign","DissNitrateNitrite","DOC","TOC","DON","DissOrthophos_Sign","DissOrthophos","TotPhos","DissSilica","TDS","TSS","VSS","TKN","Year","WY","Month"
"LIS",38.474816,-121.588584,2015-01-16 10:23:00,NA,"ES0115B0017",19.74,4.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2015,"1"
"LIS",38.474816,-121.588584,2015-01-22 11:00:00,NA,"ES0115B0027",9.27,3.51,"=",0.18,40,58,"=",0.66,6.4,6.7,0.5,"=",0.21,0.39,18.7,420,39,6,1.4,2015,2015,"1"
"LIS",38.474816,-121.588584,2015-02-04 12:15:00,NA,"ES0215B0049",11.68,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2015,"2"
"LIS",38.474816,-121.588584,2015-02-17 11:08:00,NA,"ES0215B0059",7.66,2.31,"=",0.09,30,40,"=",0.34,8.5,9,0.6,"=",0.16,0.31,14.2,342,46,5,1.1,2015,2015,"2"
"LIS",38.474816,-121.588584,2015-03-04 12:42:00,NA,"ES0315B0122",23.97,6.25,"=",0.05,43,61,"=",0.54,8.5,9.9,0.9,"=",0.22,0.39,12.9,584,49,8,1.3,2015,2015,"3"
"LIS",38.474816,-121.588584,2015-03-16 13:09:00,NA,"ES0315B0127",23.6,4.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2015,"3"
"LIS",38.474816,-121.588584,2015-04-02 12:09:00,NA,"ES0415B0133",28.88,10.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2015,"4"
"LIS",38.474816,-121.588584,2015-04-09 11:00:00,NA,"ES0415B0143",29.5,6.91,"=",0.03,36,59,"=",1.19,6.2,7,0.8,"=",0.24,0.41,12.5,458,38,7,1.3,2015,2015,"4"
"LIS",38.474816,-121.588584,2015-04-16 11:01:00,NA,"ES0415B0148",13.54,9.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2015,"4"
"LIS",38.474816,-121.588584,2015-04-30 11:11:00,NA,"ES0415B0154",24.5,9.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2015,"4"
"LIS",38.474816,-121.588584,2015-05-18 14:34:00,NA,"ES0515B0158",10.47,6.88,"=",0.04,21,32,"=",0.4,NA,NA,0.4,"=",0.15,0.32,16.4,256,87,12,0.8,2015,2015,"5"
"LIS",38.474816,-121.588584,2015-06-03 11:16:00,NA,"ES0615B0184",12.45,3.95,"=",0.05,22,42,"=",0.32,5.1,5.8,0.4,"=",0.17,0.29,16.3,290,65,7,0.8,2015,2015,"6"
"LIS",38.474816,-121.588584,2015-06-15 00:00:00,NA,"ES0615B0193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2015,"6"
"LIS",38.474816,-121.588584,2015-06-15 10:43:00,NA,"ES0615B0196",4.24,1.08,"=",0.07,17,22,"=",0.23,4.3,5.2,0.3,"=",0.18,0.3,18.7,188,63,6,0.8,2015,2015,"6"
"LIS",38.474816,-121.588584,2015-06-30 11:09:00,NA,"ES0615B0217",9.59,0.92,"=",0.03,16,22,"=",0.12,3.5,3.9,0.3,"=",0.13,0.22,17.8,169,46,8,0.5,2015,2015,"6"
"LIS",38.474816,-121.588584,2015-07-15 10:15:00,NA,"ES0715B0226",10.83,2,"=",0.02,14,27,"=",0.12,4.2,4.6,0.6,"=",0.15,0.22,16.5,161,46,10,0.7,2015,2015,"7"
"LIS",38.474816,-121.588584,2015-07-21 10:00:00,NA,"ES0715B0235",10.72,2.3,"=",0.03,15,30,"=",0.11,3.8,4.3,0.3,"=",0.14,0.24,15.3,178,50,8,0.7,2015,2015,"7"
"LIS",38.474816,-121.588584,2015-07-28 10:36:00,NA,"ES0715B0240",12.97,2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2015,"7"
"LIS",38.474816,-121.588584,2015-08-03 11:16:00,NA,"ES0815B0250",9.01,1.9,"=",0.01,13,25,"=",0.06,3.6,3.9,0.3,"=",0.09,0.18,13.6,150,45,5,0.5,2015,2015,"8"
"LIS",38.474816,-121.588584,2015-08-13 12:05:00,NA,"ES0815B0378",9.83,2.78,"=",0.02,15,27,"=",0.06,4,4.2,0.3,"=",0.08,0.17,15.1,183,39,8,0.7,2015,2015,"8"
"LIS",38.474816,-121.588584,2015-08-18 09:39:00,NA,"ES0815B0418",14.67,2.98,"=",0.01,16,36,"=",0.02,3.7,4.2,0.3,"=",0.06,0.14,13.7,207,46,5,0.5,2015,2015,"8"
"LIS",38.474816,-121.588584,2015-08-27 13:52:00,NA,"ES0815B0452",30.29,3.91,"=",0.02,37,30,"=",0.11,5.9,6,0.1,"=",0.06,0.11,22.7,402,27,5,0.6,2015,2015,"8"
"LIS",38.474816,-121.588584,2015-09-01 12:25:00,NA,"ES0915B0484",16.82,2.25,"=",0.02,39,34,"=",0.16,6.2,6.7,0.5,"=",0.12,0.24,24.9,388,17,3,0.8,2015,2015,"9"
"LIS",38.474816,-121.588584,2015-09-10 09:15:00,NA,"ES0915B0505",8.39,2.66,"=",0.02,38,39,"=",0.16,5.7,5.9,0.5,"=",0.08,0.14,24.9,391,27,3,0.5,2015,2015,"9"
"LIS",38.474816,-121.588584,2015-09-15 08:32:00,NA,"ES0915B0520",3.16,1.19,"=",0.04,37,29,"=",0.08,5.7,5.3,0.4,"=",0.04,0.13,23.6,358,17,3,0.5,2015,2015,"9"
"LIS",38.474816,-121.588584,2015-09-21 11:48:00,NA,"ES0915B0544",8.8,3.3,"=",0.02,37,37,"=",0.27,5.4,5.5,0.6,"=",0.06,0.14,24.1,370,32,4,0.5,2015,2015,"9"
"LIS",38.474816,-121.588584,2015-10-01 12:10:00,NA,"ES1015B0577",5.7,3,"=",0.03,37,32,"=",0.16,5.7,5.7,0.5,"=",0.07,0.19,23.5,393,25,3,0.7,2015,2016,"10"
"LIS",38.474816,-121.588584,2015-10-08 10:35:00,NA,"ES1015B0598",16.94,2.26,"=",0.02,22,26,"=",0.1,4.1,4.4,0.3,"=",0.11,0.14,17.9,239,43,8,0.4,2015,2016,"10"
"LIS",38.474816,-121.588584,2015-10-13 09:00:00,NA,"ES1015B0613",8.84,1.98,"=",0.03,18,24,"=",0.08,NA,NA,0.2,"=",0.09,0.17,16.2,191,38,4,0.5,2015,2016,"10"
"LIS",38.474816,-121.588584,2015-10-19 11:00:00,NA,"ES1015B0634",5.3,2,"=",0.03,17,23,"=",0.08,3.5,3.9,0.3,"=",0.1,0.17,15.8,180,37,5,0.6,2015,2016,"10"
