"date","mean","max","min","sd","cv","site","n()","category","method","length"
2015-03-30,19.4282407407407,19.8888888888889,19,0.284185356541163,1.46274364381964,"LIS",96,"data","CDEC",NA
2015-03-31,19.1822916666667,20.1111111111111,18.4444444444444,0.507686411284298,2.64664107973351,"LIS",96,"data","CDEC",NA
2015-04-01,18.566081871345,19.1111111111111,18.1111111111111,0.340669346937578,1.83490167337552,"LIS",95,"data","CDEC",NA
2015-04-02,16.9548611111111,18.0555555555556,16,0.545839750419848,3.2193702256997,"LIS",96,"data","CDEC",NA
2015-04-03,16.6875,17.7222222222222,15.8888888888889,0.477107512985667,2.85907123886542,"LIS",96,"data","CDEC",NA
2015-04-04,16.4467592592593,16.8888888888889,15.7777777777778,0.330093088123553,2.00704031061752,"LIS",96,"data","CDEC",NA
2015-04-05,15.9635416666667,16.6666666666667,15.5555555555556,0.28927416111001,1.81209262424541,"LIS",96,"data","CDEC",NA
2015-04-06,15.3784722222222,15.8333333333333,14.8888888888889,0.309615504914871,2.01330470570068,"LIS",96,"data","CDEC",NA
2015-04-07,15.2662037037037,15.7222222222222,14.8888888888889,0.231237688384372,1.5147032810015,"LIS",96,"data","CDEC",NA
2015-04-08,15.103587962963,15.9444444444444,14.3333333333333,0.561987318404265,3.7208861879864,"LIS",96,"data","CDEC",NA
2015-04-09,15.6359953703704,16.8333333333333,14.7222222222222,0.717047126522905,4.58587451286716,"LIS",96,"data","CDEC",NA
2015-04-10,15.7783564814815,16.6666666666667,15.0555555555556,0.514664408765126,3.26183788133555,"LIS",96,"data","CDEC",NA
2015-04-11,16.4201388888889,18.3333333333333,15.2777777777778,1.00492007641106,6.12004614096818,"LIS",96,"data","CDEC",NA
2015-04-12,17.3188657407407,18.9444444444444,16,1.0306935025868,5.95127601319873,"LIS",96,"data","CDEC",NA
2015-04-13,17.9583333333333,18.5555555555556,17.1111111111111,0.416823573720493,2.32105934322316,"LIS",60,"data","CDEC",NA
2015-04-14,17.5625,18,17.0555555555556,0.288872019300525,1.64482288569694,"LIS",96,"data","CDEC",NA
2015-04-15,16.6863425925926,17.5,15.8888888888889,0.443784536890391,2.65956745420891,"LIS",96,"data","CDEC",NA
2015-04-16,16.7725694444444,18.1666666666667,15.7222222222222,0.805926638667305,4.80502788399097,"LIS",96,"data","CDEC",NA
2015-04-17,17.2008101851852,19.5,16.6666666666667,0.479493030929527,2.78761887240932,"LIS",96,"data","CDEC",NA
2015-04-18,17.3819444444444,18.3333333333333,16.3888888888889,0.519737150541522,2.99009786967556,"LIS",96,"data","CDEC",NA
2015-04-19,17.798463356974,18.7777777777778,16.8333333333333,0.536654833047846,3.01517508722217,"LIS",94,"data","CDEC",NA
2015-04-20,18.6892361111111,19.5,17.3888888888889,0.574109934898298,3.07187480261421,"LIS",96,"data","CDEC",NA
2015-04-21,19.1116898148148,19.8333333333333,18,0.535879327022173,2.80393482844607,"LIS",96,"data","CDEC",NA
2015-04-22,19.3078703703704,20.2222222222222,18.4444444444444,0.568899206473202,2.9464627406357,"LIS",96,"data","CDEC",NA
2015-04-23,19.6302083333333,20.1666666666667,18.7222222222222,0.429184527155369,2.18634728611915,"LIS",96,"data","CDEC",NA
2015-04-24,19.4263157894737,19.8888888888889,18.7777777777778,0.289633757991478,1.49093508584072,"LIS",95,"data","CDEC",NA
2015-04-25,19.1765046296296,20.3888888888889,18.2777777777778,0.609966753728516,3.18080257851609,"LIS",96,"data","CDEC",NA
2015-04-26,19.6290509259259,20.5555555555556,18.7777777777778,0.633866339357655,3.22922560927512,"LIS",96,"data","CDEC",NA
2015-04-27,20.8032407407407,23.2777777777778,19.3333333333333,1.398316928222,6.72163027697681,"LIS",96,"data","CDEC",NA
2015-04-28,21.0046296296296,22.4444444444444,19.8888888888889,0.64323675237153,3.06235703134782,"LIS",96,"data","CDEC",NA
2015-04-29,21.2077546296296,24.5555555555556,19.8888888888889,1.18659517469958,5.59510044991641,"LIS",96,"data","CDEC",NA
2015-04-30,21.2576312576313,22.2222222222222,20.4444444444444,0.564527339319598,2.65564555372057,"LIS",91,"data","CDEC",NA
2015-05-01,22.4293981481481,24.6666666666667,21.1666666666667,1.12400354156329,5.01129604164655,"LIS",96,"data","CDEC",NA
2015-05-02,22.2609953703704,23.3333333333333,21.2222222222222,0.61316082579445,2.75441783079733,"LIS",96,"data","CDEC",NA
2015-05-03,21.3273504273504,22.2777777777778,20.6666666666667,0.495652693997951,2.3240237726029,"LIS",65,"data","CDEC",NA
2015-05-04,20.5805946791862,21.2222222222222,19.8888888888889,0.490364721585749,2.38265574551969,"LIS",71,"data","CDEC",NA
2015-05-05,20.1440568475452,20.8888888888889,19.3888888888889,0.5150161920431,2.55666570016585,"LIS",86,"data","CDEC",NA
2015-05-06,20.8249619482496,22.3888888888889,19.2222222222222,1.10125533311632,5.2881505178879,"LIS",73,"data","CDEC",NA
2015-05-07,20.1281045751634,20.7222222222222,19.4444444444444,0.419349697541354,2.08340380970993,"LIS",85,"data","CDEC",NA
2015-05-08,19.9467592592593,21.5,18.7222222222222,0.746963385534103,3.74478568586204,"LIS",96,"data","CDEC",NA
2015-05-09,19.7436342592593,20.6666666666667,18.7777777777778,0.500835545636502,2.53669379740269,"LIS",96,"data","CDEC",NA
2015-05-10,19.9057665260197,21,19.1666666666667,0.527373096492777,2.64934834739182,"LIS",79,"data","CDEC",NA
2015-05-11,19.7204861111111,20.5,19.0555555555556,0.42983693093949,2.1796467314125,"LIS",96,"data","CDEC",NA
2015-05-12,19.5812865497076,21.8888888888889,18.5555555555556,1.0244839086642,5.23195401928022,"LIS",95,"data","CDEC",NA
2015-05-13,19.2106481481481,19.8888888888889,18.3888888888889,0.430853352336275,2.24278404879227,"LIS",96,"data","CDEC",NA
2015-05-14,19.1111111111111,21.2777777777778,18.3333333333333,0.614371948812752,3.21473694146208,"LIS",96,"data","CDEC",NA
2015-05-15,19.3269005847953,20.2777777777778,18.3888888888889,0.658682646546091,3.40811318222583,"LIS",95,"data","CDEC",NA
2015-05-16,19.6730324074074,21.5555555555556,18.5555555555556,0.857291843074377,4.35770055841307,"LIS",96,"data","CDEC",NA
2015-05-17,19.2725694444444,20.1111111111111,18.6666666666667,0.440116214568591,2.28364056924158,"LIS",96,"data","CDEC",NA
