chlorophyll,WTmwk,Q_sday,inund_factor,region,water_year
2.54,10.771428571428572,18500,none,downstream,2014
8.12,10.39727678571429,22800,none,upstream,2014
5.3,10.863690476190472,21200,none,downstream,2014
8.19,11.254136904761886,100,none,yolo,2014
11.96,11.254136904761886,100,none,yolo,2014
9.16,14.0394494047619,100,none,yolo,2014
5.53,13.037125783208014,7180,none,upstream,2014
8.52,14.09955357142857,97,none,yolo,2014
14.31,14.09955357142857,97,none,yolo,2014
13.24,14.365446428571442,112,none,yolo,2014
3.19999980926514,13.942239819004527,22100,none,downstream,2014
3.5,13.942239819004527,22100,none,downstream,2014
1.11,14.063399100899112,19100,none,downstream,2014
2.3,14.2020895770896,16500,none,downstream,2014
3.96,14.045242637844586,22300,none,upstream,2014
6.56,15.640773809523814,107,none,yolo,2014
14.95,15.640773809523814,107,none,yolo,2014
9.83,15.905833333333344,116,none,yolo,2014
16.45,16.362023809523816,7090,none,upstream,2014
10.51,17.294810620300744,210,none,yolo,2014
13.67,17.294810620300744,210,none,yolo,2014
4.25,13.426875000000017,10900,none,upstream,2014
5.66,15.355135964912272,124,none,yolo,2014
6.77,15.355135964912272,124,none,yolo,2014
2.5,14.572023809523827,10900,none,downstream,2014
2.29999995231628,14.572023809523827,10900,none,downstream,2014
5.51,15.950076441102745,132,none,yolo,2014
2.25,14.767857142857142,7590,none,downstream,2014
8.33,14.767857142857142,7590,none,downstream,2014
14.52,20.787098214285713,344,none,yolo,2014
1.85,20.106860119047617,6000,none,upstream,2014
3.46,19.839672619047615,372,none,yolo,2014
1.41,12.091607142857145,49500,none,upstream,2015
1.5,12.647138420585629,50500,none,downstream,2015
1.82,11.859151785714271,4479,none,yolo,2015
1.67,11.859151785714271,4479,none,yolo,2015
6.79999971389771,12.35487651582373,47900,none,downstream,2015
6.09999990463257,12.35487651582373,47900,none,downstream,2015
0.82,11.131562500000005,22200,none,upstream,2015
2.82,10.025667658730152,2867,none,yolo,2015
2.44,10.025667658730152,2867,none,yolo,2015
5.66,6.430148809523809,282,none,yolo,2015
1.24,10.1978125,8790,none,upstream,2015
9.76,10.05385213032582,244,none,yolo,2015
19.74,10.05385213032582,244,none,yolo,2015
0.37,9.35595238095239,6590,none,downstream,2015
0.56,9.35595238095239,6590,none,downstream,2015
13.67,10.6581676065163,250,none,yolo,2015
1.61,10.7888392857143,8770,none,upstream,2015
9.27,10.840637844611544,273,none,yolo,2015
0.9,10.65,8590,none,downstream,2015
2.5,10.825,6940,none,downstream,2015
1.39999997615814,10.825,6940,none,downstream,2015
2.04,11.866309523809528,8230,none,upstream,2015
8.79,12.064568452380945,318,none,yolo,2015
11.68,12.064568452380945,318,none,yolo,2015
1.87,13.141666666666673,30200,none,downstream,2015
8.93,14.861532738095228,868,none,yolo,2015
7.66,14.861532738095228,868,none,yolo,2015
3.29,13.329613095238086,15000,none,upstream,2015
1.7,13.756547619047614,15700,none,downstream,2015
1.6,13.756547619047614,15700,none,downstream,2015
2.64,12.915133928571414,8960,none,upstream,2015
17.73,13.674598214285714,271,none,yolo,2015
23.97,13.674598214285714,271,none,yolo,2015
4.09999990463257,14.160714285714285,5590,none,downstream,2015
2.39999985694885,14.160714285714285,5590,none,downstream,2015
9.37,15.158333333333314,6330,none,downstream,2015
9.22,15.158333333333314,6330,none,downstream,2015
14.82,17.761711309523815,281,none,yolo,2015
23.6,17.761711309523815,281,none,yolo,2015
2.48,16.720288063909774,6920,none,upstream,2015
5.1,16.414880952380944,5250,none,downstream,2015
3.4,16.414880952380944,5250,none,downstream,2015
14.16,18.68279761904763,628,none,yolo,2015
16.47,19.30438988095237,554,none,yolo,2015
28.88,19.30438988095237,554,none,yolo,2015
5.28,18.733452380952382,5380,none,upstream,2015
29.5,16.677068452380958,366,none,yolo,2015
2.97,17.010119047619042,4030,none,downstream,2015
6.82,17.010119047619042,4030,none,downstream,2015
32.21,17.52697916666667,456,none,yolo,2015
13.54,17.52697916666667,456,none,yolo,2015
4.67,17.571369047619044,5200,none,upstream,2015
14.7,17.405357142857127,4580,none,downstream,2015
4.4,17.405357142857127,4580,none,downstream,2015
3.89999985694885,17.560714285714273,5600,none,downstream,2015
7.09999990463257,17.560714285714273,5600,none,downstream,2015
3.42,20.83316964285716,6070,none,upstream,2015
24.5,19.933125,491,none,yolo,2015
5.45,19.933125,491,none,yolo,2015
3,8.925576036866358,142,none,yolo,2016
2.73,9.261290322580644,139,none,yolo,2016
4.76,9.261290322580644,139,none,yolo,2016
1.55,10.145431547619062,8550,none,upstream,2016
3.8,10.063328157349906,3210,none,downstream,2016
2.6,11.282247023809544,9640,none,upstream,2016
8.2,10.489518633540383,8262,none,downstream,2016
6.49,9.014716856642323,149,none,yolo,2016
6.13,8.999092261904762,13800,none,upstream,2016
3.95,9.057573999499468,149,none,yolo,2016
2.7,7.695833333333334,6840,none,downstream,2016
2.58,7.630952380952381,9990,none,downstream,2016
2.34,7.630952380952381,9990,none,downstream,2016
7.8,6.979737326110219,161,none,yolo,2016
10.07,8.275907738095238,140,none,yolo,2016
17.7,8.275907738095238,140,none,yolo,2016
2.72,8.880074404761904,15100,none,upstream,2016
2.3,9.605744047619048,36500,none,upstream,2016
14.62,10.258065476190469,1438,none,yolo,2016
4.29,12.225,1175,none,yolo,2016
5.64,12.225,1175,none,yolo,2016
1.53,11.116512844611544,35400,none,upstream,2016
1.38,10.824999999999996,32700,none,downstream,2016
3,10.824999999999996,32700,none,downstream,2016
4.39999961853027,10.824999999999996,32700,none,downstream,2016
1.86,9.31226190476191,17900,none,upstream,2016
7.75,10.252619047619056,278,none,yolo,2016
8.07,10.252619047619056,278,none,yolo,2016
1.4,9.855408902691511,15700,none,downstream,2016
1.9,9.971480331262944,15100,none,downstream,2016
7,11.163244047619058,262,none,yolo,2016
16.65,14.350401785714272,171,none,yolo,2016
8.8,14.611889880952372,150,none,yolo,2016
3.55,12.534583333333329,14900,none,upstream,2016
2.6,12.534583333333329,14900,none,upstream,2016
1.2,13.259523809523786,11300,none,downstream,2016
0.899999976158142,13.259523809523786,11300,none,downstream,2016
3.46,13.6738095238095,10100,none,downstream,2016
3.65,13.6738095238095,10100,none,downstream,2016
12.7,16.115773809523816,1018,none,yolo,2016
15.67,16.115773809523816,1018,none,yolo,2016
6.22,13.520486372180455,46800,none,upstream,2016
5.4,14.282738095238086,44200,none,downstream,2016
3.5,14.117857142857144,49100,none,downstream,2016
3.4,14.117857142857144,49100,none,downstream,2016
5.5,14.794821428571442,2587,none,yolo,2016
1.95,11.442931547619043,61700,short,upstream,2016
1.75,13.204910757778986,18198,short,yolo,2016
1.51,13.204910757778986,18198,short,yolo,2016
46.72,14.5793031188653,2759,short,yolo,2016
3.9,13.179136904761917,55300,short,upstream,2016
67.08,15.417785378165329,2582,short,yolo,2016
4.85,13.2413665413534,53300,none,upstream,2016
5.28,13.528836779448644,34400,none,upstream,2016
37.13,17.266928896885556,1672,none,yolo,2016
40.14,17.266928896885556,1672,none,yolo,2016
31.5,17.285109953854157,1500,none,yolo,2016
2.39999985694885,15.061904761904744,22500,none,downstream,2016
2.89999985694885,15.061904761904744,22500,none,downstream,2016
5,15.330952380952372,20400,none,downstream,2016
28.14,18.680634093913685,1063,none,yolo,2016
4.54,15.729553571428571,18200,none,upstream,2016
27.8,19.18377562825893,1040,none,yolo,2016
26.3,19.571734170455983,914,none,yolo,2016
3.03,17.148214285714285,17700,none,downstream,2016
3.4,16.297258421985802,15000,none,upstream,2016
24.44,19.25059523809523,516,none,yolo,2016
3.2,16.4077197315096,14100,none,upstream,2016
18.92,19.571353540100244,517,none,yolo,2016
4.09999990463257,17.7107142857143,10400,none,downstream,2016
3.5,17.7107142857143,10400,none,downstream,2016
7,10.245636120555153,115,none,yolo,2017
1.5,10.027976190476194,9250,none,downstream,2017
1.43,9.910714285714285,8740,none,downstream,2017
2.11,9.910714285714285,8740,none,downstream,2017
5.72,9.20419812745394,623,none,yolo,2017
6.53,9.20419812745394,623,none,yolo,2017
1.9,9.869642857142855,34200,none,downstream,2017
1.5,9.869642857142855,34200,none,downstream,2017
3.05,9.671307043624996,33800,none,upstream,2017
1.7,9.930880456424116,51100,short,upstream,2017
2.68,8.884321912689295,3759,short,yolo,2017
2.23,8.884321912689295,3759,short,yolo,2017
3,9.764285714285704,63500,none,downstream,2017
3.1,9.764285714285704,63500,none,downstream,2017
5.83,7.595803384886933,1035,none,yolo,2017
7.24,7.595803384886933,1035,none,yolo,2017
1.69,8.264655258041666,27600,none,upstream,2017
2.35,8.64957729468599,81200,short,downstream,2017
2.49,8.766458333333333,70500,short,upstream,2017
1.83,9.205233268307316,173921,short,yolo,2017
1.06,9.205233268307316,173921,short,yolo,2017
2.6,9.18472222222223,166000,short,downstream,2017
1.3,9.142425595238096,53870,short,yolo,2017
1.6,9.142425595238096,53870,short,yolo,2017
1.14,8.629389880952381,65700,short,upstream,2017
1.19,8.686458333333334,88483,short,yolo,2017
1.05,8.686458333333334,88483,short,yolo,2017
1.48,9.084181547619048,18591,long,yolo,2017
2.23,9.245014880952382,18132,long,yolo,2017
1.71,10.244226190476182,54069,long,yolo,2017
2.12,10.244226190476182,54069,long,yolo,2017
1.48,9.171235119047616,67900,long,upstream,2017
9.1,10.281547619047618,137000,long,downstream,2017
5.02,10.658928571428566,167000,long,downstream,2017
7.2,11.638095238095245,251000,long,downstream,2017
6.9,11.638095238095245,251000,long,downstream,2017
0.83,10.068541666666668,193325,long,yolo,2017
0.87,9.62641369047619,227863,long,yolo,2017
0.57,9.62641369047619,227863,long,yolo,2017
0.67,9.52766369047619,74700,long,upstream,2017
0.9,9.319315476190477,88486,long,yolo,2017
2.75,10.203348214285713,59700,long,upstream,2017
5.29,10.928571428571416,104000,long,downstream,2017
2.2,10.762976190476197,18577,long,yolo,2017
2.31,10.762976190476197,18577,long,yolo,2017
2.6,10.339925595238086,58200,long,upstream,2017
7.1,11.902295918367358,70600,long,downstream,2017
5.9,11.902295918367358,70600,long,downstream,2017
39.09,14.269330357142858,6358,long,yolo,2017
42.48,14.269330357142858,6358,long,yolo,2017
33,15.382306547619056,6050,long,yolo,2017
3.4,11.912559523809527,49400,long,upstream,2017
3.2,12.0889075061843,61200,long,upstream,2017
4.5,13.760119047619042,70500,long,downstream,2017
18.34,17.194910714285715,22906,long,yolo,2017
9.98,17.194910714285715,22906,long,yolo,2017
15.93,14.334360119047616,27395,long,yolo,2017
6.88,12.770606550069855,44700,none,upstream,2017
23.37,16.085605369807485,2491,none,yolo,2017
22.27,16.085605369807485,2491,none,yolo,2017
6.86,14.250595238095244,52700,none,downstream,2017
3,14.250595238095244,52700,none,downstream,2017
3.5,14.250595238095244,52700,none,downstream,2017
7.15,15.309122023809516,5266,short,yolo,2017
5.39,15.131413690476201,23442,short,yolo,2017
4.1,15.131413690476201,23442,short,yolo,2017
8,13.152380952380955,61759,short,downstream,2017
7.1,13.152380952380955,61759,short,downstream,2017
2.45,12.236741071428558,62800,short,upstream,2017
2.5,12.236741071428558,62800,short,upstream,2017
5.06,15.771517857142856,26283,short,yolo,2017
14.76,15.771517857142856,26283,short,yolo,2017
3.2,14.720238095238114,104000,short,downstream,2017
8.1,16.859657738095244,10565,long,yolo,2017
3.9,15.422619047619058,89300,long,downstream,2017
4.64,17.495877976190485,3997,long,yolo,2017
1.4,12.158333333333328,12900,none,downstream,2018
1.46,11.383928571428555,11000,none,downstream,2018
0.5,11.383928571428555,11000,none,downstream,2018
1.18,11.383928571428555,11000,none,downstream,2018
1.25,9.175495535714289,92,none,yolo,2018
33.19,9.175495535714289,92,none,yolo,2018
2.66,9.890936164229467,10800,none,upstream,2018
1.1,9.951785714285707,11000,none,downstream,2018
1.7,9.6,10800,none,downstream,2018
2.3,9.6,10800,none,downstream,2018
4.13,9.485720390419948,10700,none,upstream,2018
1.58,8.41015773809524,88,none,yolo,2018
15.67,8.41015773809524,88,none,yolo,2018
3.2,9.40354761904762,10700,none,upstream,2018
27.78,8.284965773809523,88,none,yolo,2018
26.16,8.284965773809523,88,none,yolo,2018
2.47,9.390072916666668,10200,none,upstream,2018
1.86,9.241626984126984,10900,none,downstream,2018
1.83,9.241626984126984,10900,none,downstream,2018
1.71,9.241626984126984,10900,none,downstream,2018
3.3,10.0702380952381,24100,none,downstream,2018
10.5,11.456534226190486,120,none,yolo,2018
12.64,11.456534226190486,120,none,yolo,2018
3.23,11.465107142857144,13300,none,upstream,2018
2.5,9.773875971177937,15400,none,upstream,2018
15.54,10.303889880952372,188,none,yolo,2018
14.5,10.303889880952372,188,none,yolo,2018
1.4,10.263690476190488,15300,none,downstream,2018
1.6,10.263690476190488,15300,none,downstream,2018
2.94,9.81110960213032,14700,none,upstream,2018
1.3,10.706547619047614,13500,none,downstream,2018
1.45,10.706547619047614,13500,none,downstream,2018
2.2,11.253571428571428,13000,none,downstream,2018
11.52,12.730967741935483,109,none,yolo,2018
12.88,12.730967741935483,109,none,yolo,2018
1.8,12.6970238095238,11900,none,downstream,2018
2.87,12.175119047619043,10100,none,upstream,2018
3.36,9.867678571428566,8780,none,upstream,2018
34.9,9.647339040728564,103,none,yolo,2018
24.76,9.647339040728564,103,none,yolo,2018
2,9.85833333333333,13900,none,downstream,2018
2.8,9.85833333333333,13900,none,downstream,2018
2.43,10.216333071690215,9760,none,downstream,2018
1.54,10.216333071690215,9760,none,downstream,2018
3.85,12.447113095238086,9680,none,upstream,2018
5.9,12.447113095238086,9680,none,upstream,2018
13.66,14.443889084053684,138,none,yolo,2018
19.06,14.443889084053684,138,none,yolo,2018
3.81,12.2551948051948,13500,none,downstream,2018
1.4,12.652813852813845,16800,none,downstream,2018
1.7,12.061904761904772,48000,none,downstream,2018
14.67,14.329564406407714,407,none,yolo,2018
18.38,14.329564406407714,407,none,yolo,2018
