doy1998,date,Q_upstream,Q_downstream,inundation,inund_days,inund_factor,Q_yolo,WTmwk_downstream,WTmwk_upstream,WTmwk_yolo,sradmwk_downstream,sradmwk_upstream,sradmwk_yolo
7628,2018-11-19,7480,3820,0,0,none,103,12.358669772256714,10.530758928571442,10.855832690925457,251.23857142857142,255.68,252.35714285714286
7629,2018-11-20,8230,4360,0,0,none,113,12.044979296066243,10.396398809523815,10.63555842581943,253.03142857142856,258.6542857142857,255.4242857142857
7630,2018-11-21,8650,3690,0,0,none,123,11.760455486542442,10.314404761904756,10.488016229380486,235.35999999999999,238.59142857142857,233.38571428571427
7631,2018-11-22,9210,5020,0,0,none,146,11.539880952380956,10.303645833333329,10.459962431466042,216.52571428571426,215.8357142857143,211.69
7632,2018-11-23,9980,5710,0,0,none,97,11.389285714285714,10.408764880952386,10.5513970320761,188.9242857142857,184.72,181.21285714285713
7633,2018-11-24,10900,6900,0,0,none,63,11.3077380952381,10.595342261904758,10.751410220910586,169.94857142857143,163.55,162.05142857142857
7634,2018-11-25,11300,7170,0,0,none,54,11.277976190476199,10.870193452380942,11.007531005573972,161.86285714285714,152.98857142857145,152.7
7635,2018-11-26,11400,6440,0,0,none,50,11.289880952380956,11.182083333333315,11.254773790059257,155.11714285714285,143.78285714285715,144.62
7636,2018-11-27,11400,5800,0,0,none,49,11.348809523809528,11.522499999999987,11.484613771601657,134.97571428571428,123.51857142857143,122.01571428571428
7637,2018-11-28,11100,4730,0,0,none,50,11.461309523809529,11.858377976190472,11.860686799986857,129.72,116.79285714285714,117.67714285714285
7638,2018-11-29,11400,7910,0,0,none,73,11.614285714285714,12.185,12.134850544581186,125.29714285714286,115.13857142857142,116.76142857142857
7639,2018-11-30,13600,14800,0,0,none,90,11.777976190476199,12.409092261904757,12.246758787808457,134.06285714285713,127.46142857142857,128.1342857142857
7640,2018-12-01,15900,13800,0,0,none,83,11.927380952380958,12.520595238095243,12.254794717174972,133.92714285714285,129.64142857142858,128.05142857142857
7641,2018-12-02,17200,15000,0,0,none,263,12.047619047619042,12.493333333333343,12.153203289347871,134.03857142857143,130.13142857142856,129.62714285714284
7642,2018-12-03,15300,13000,0,0,none,201,12.1172619047619,12.361383928571444,12.010346146490729,132.06,129.64285714285714,128.41142857142856
7643,2018-12-04,13600,9650,0,0,none,96,12.119047619047615,12.152574404761914,11.796060432205014,125.96571428571428,122.26857142857142,122.49571428571429
7644,2018-12-05,12400,8380,0,0,none,71,12.055952380952371,11.889523809523814,11.480021303375185,131.12142857142857,125.53714285714285,126.61857142857143
7645,2018-12-06,11700,8440,0,0,none,70,11.933928571428572,11.5848511904762,11.22129114464503,148.15285714285716,142.29285714285714,143.43571428571428
7646,2018-12-07,11300,9610,0,0,none,60,11.775,11.3136755952381,11.017790577751615,162.4,155.0157142857143,157.81142857142856
7647,2018-12-08,10900,9370,0,0,none,52,11.57857142857143,11.051145833333328,10.798390225017929,175.81142857142856,167.16714285714286,171.90428571428572
7648,2018-12-09,10100,7860,0,0,none,47,11.376159147869686,10.822366071428558,10.612800413809858,166.82857142857142,161.52714285714285,164.62142857142857
7649,2018-12-10,9830,7130,0,0,none,45,11.202349624060156,10.641830357142842,10.469943270952715,169.05714285714285,161.77285714285713,165.53428571428572
7650,2018-12-11,10000,8150,0,0,none,46,11.0603041695147,10.541056547619043,10.393559126715308,191.94,184.59714285714287,191.02714285714285
7651,2018-12-12,9630,8630,0,0,none,46,10.9353041695147,10.500952380952372,10.25245539840228,206.4257142857143,202.22285714285715,208.51142857142858
7652,2018-12-13,9130,6780,0,0,none,45,10.809113693324214,10.463199404761886,10.073090319037194,211.4242857142857,207.65857142857143,213.99571428571429
7653,2018-12-14,8990,5110,0,0,none,49,10.696613693324215,10.404062499999986,9.890876600216323,210.15857142857143,206.03428571428572,204.50714285714287
7654,2018-12-15,8990,6360,0,0,none,52,10.612685121895643,10.3726488095238,9.851643102406051,206.5285714285714,200.87142857142857,198.34571428571428
7655,2018-12-16,9060,6490,0,0,none,57,10.548430735930728,10.394389880952371,9.926412320934666,205.7757142857143,196.85714285714286,195.4942857142857
7656,2018-12-17,10400,10800,0,0,none,85,10.50140692640693,10.448705357142844,10.106412320934666,196.66285714285715,187.53285714285715,194.44285714285715
7657,2018-12-18,15600,12600,0,0,none,69,10.492261904761914,10.524999999999986,10.193510750886357,197.71571428571428,188.22571428571428,193.94571428571427
7658,2018-12-19,21900,15500,0,0,none,227,10.526190476190486,10.620714285714271,10.407796465172071,194.9557142857143,188.2657142857143,191.6042857142857
7659,2018-12-20,19600,15500,0,0,none,162,10.599007936507958,10.770029761904757,10.722082179457786,183.5457142857143,173.15142857142857,176.8842857142857
7660,2018-12-21,16200,12800,0,0,none,80,10.7106575963719,10.917395833333329,11.0363678937435,173.06142857142856,163.39142857142858,175.28142857142856
7661,2018-12-22,14600,11800,0,0,none,68,10.809467120181429,11.045863095238087,11.216644256364757,176.07,167.4142857142857,180.64714285714285
7662,2018-12-23,14200,11300,0,0,none,60,10.899348072562372,11.119925595238087,11.266039337474128,183.27714285714285,172.49428571428572,186.2057142857143
7663,2018-12-24,14100,10700,0,0,none,62,10.972562358276656,11.189047619047614,11.13367480545443,182.92714285714285,166.45142857142858,174.81142857142856
